Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
1,Shai Gilgeous-Alexander,26,OKC,PG,68,68,34.3,11.3,21.7,.522,2.1,5.8,.370,9.2,15.9,.578,.572,8.0,8.9,.903,0.9,4.1,5.0,6.3,1.8,1.0,2.5,2.2,32.8,,gilgesh01
2,Giannis Antetokounmpo,30,MIL,PF,58,58,33.9,11.9,19.9,.599,0.1,0.8,.178,11.8,19.1,.616,.603,6.3,10.3,.605,2.3,9.7,12.0,5.9,0.8,1.2,3.2,2.4,30.2,,antetgi01
3,Nikola Jokić,29,DEN,C,62,62,36.5,11.1,19.4,.575,1.9,4.6,.413,9.2,14.8,.624,.623,5.0,6.2,.807,2.9,10.0,12.8,10.3,1.8,0.7,3.3,2.3,29.1,,jokicni01
4,Luka Dončić,25,2TM,PG,39,39,35.1,9.1,20.6,.442,3.5,9.7,.358,5.6,10.9,.518,.527,5.9,7.6,.768,0.9,7.6,8.5,7.8,1.9,0.4,3.9,2.6,27.6,,doncilu01
4,Luka Dončić,25,DAL,PG,22,22,35.7,9.8,21.2,.464,3.4,9.6,.354,6.4,11.5,.555,.544,5.1,6.6,.767,0.7,7.6,8.3,7.8,2.0,0.4,3.4,2.6,28.1,,doncilu01
4,Luka Dončić,25,LAL,PG,17,17,34.2,8.2,19.9,.413,3.6,9.9,.363,4.6,10.1,.462,.503,6.9,8.9,.770,1.2,7.5,8.7,7.9,1.8,0.5,4.5,2.5,26.9,,doncilu01
5,Anthony Edwards,23,MIN,SG,69,69,36.3,9.0,20.4,.442,4.0,10.1,.400,5.0,10.3,.482,.541,5.4,6.5,.841,0.8,5.0,5.8,4.6,1.1,0.6,3.2,1.8,27.5,,edwaran01
6,Jayson Tatum,26,BOS,PF,65,65,36.6,9.3,20.5,.454,3.6,10.2,.349,5.7,10.3,.558,.541,5.0,6.2,.815,0.7,8.0,8.7,5.9,1.1,0.5,3.0,2.2,27.2,,tatumja01
7,Kevin Durant,36,PHO,PF,58,58,36.9,9.6,18.2,.528,2.5,6.0,.417,7.1,12.2,.583,.597,4.9,5.9,.832,0.4,5.7,6.1,4.4,0.8,1.2,3.1,1.7,26.6,,duranke01
8,Jalen Brunson,28,NYK,PG,61,61,35.4,9.1,18.7,.490,2.3,6.0,.384,6.9,12.7,.541,.552,5.7,7.0,.825,0.4,2.6,3.0,7.4,1.0,0.1,2.5,2.2,26.3,,brunsja01
