Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA,,Arena,Attend.,Attend./G
1,Oklahoma City Thunder,24.7,59,12,59,12,12.90,-0.08,12.83,120.1,107.1,+13.0,99.6,.218,.421,.591,,.558,10.4,24.5,.179,,.511,15.0,74.2,.213,,Paycom Center,645614,17934
2,Cleveland Cavaliers,26.7,57,14,55,16,10.39,-0.98,9.42,122.3,111.9,+10.4,99.9,.245,.457,.610,,.580,11.5,25.5,.192,,.529,12.9,75.1,.181,,Rocket Arena,680120,19432
3,Boston Celtics,29.0,52,19,53,18,8.69,-0.60,8.09,120.4,111.5,+8.9,96.2,.217,.536,.592,,.562,10.7,25.0,.173,,.525,11.8,76.1,.157,,TD Garden,689616,19156
4,Memphis Grizzlies,24.7,43,28,46,25,5.20,-0.24,4.96,117.8,112.8,+5.0,103.5,.254,.400,.587,,.553,13.3,29.3,.199,,.534,13.1,74.3,.202,,FedEx Forum,595518,16542
5,Minnesota Timberwolves,27.2,41,31,46,26,4.51,0.40,4.92,115.9,111.3,+4.6,97.5,.251,.458,.586,,.551,13.0,25.3,.199,,.531,13.4,74.7,.180,,Target Center,696337,18820
6,Houston Rockets,24.9,46,26,46,26,4.44,0.44,4.89,114.7,110.2,+4.5,98.4,.248,.383,.549,,.518,11.9,31.9,.183,,.524,12.8,76.0,.188,,Toyota Center,645871,17456
7,New York Knicks,27.4,44,26,44,26,4.17,-0.86,3.31,118.6,114.4,+4.2,97.1,.234,.382,.589,,.556,11.8,25.9,.188,,.548,13.0,74.5,.174,,Madison Square Garden (IV),673608,19812
8,Denver Nuggets,26.9,45,27,44,28,3.88,0.02,3.90,119.9,116.1,+3.8,99.9,.254,.354,.604,,.573,12.5,27.0,.196,,.542,11.4,74.4,.175,,Ball Arena,672451,19778
9,Los Angeles Clippers,29.6,40,31,43,28,3.31,0.28,3.59,113.8,110.4,+3.4,97.6,.253,.390,.583,,.548,13.7,24.6,.201,,.536,13.7,76.9,.188,,Intuit Dome,590776,16410
10,Golden State Warriors,28.6,41,30,41,30,2.42,0.35,2.77,114.3,111.9,+2.4,99.0,.240,.465,.565,,.534,12.3,27.0,.181,,.539,13.7,75.8,.192,,Chase Center,668368,18064
11,Milwaukee Bucks,29.6,40,30,40,30,2.39,-0.32,2.07,114.9,112.5,+2.4,99.5,.263,.425,.592,,.562,12.3,19.7,.198,,.529,11.5,76.7,.179,,Fiserv Forum,627249,17432
12,Detroit Pistons,25.7,40,32,41,31,2.25,-0.73,1.52,114.7,112.4,+2.3,100.0,.245,.392,.581,,.548,13.3,26.4,.190,,.540,13.5,76.9,.213,,Little Caesars Arena,662962,18942
13,Indiana Pacers,25.8,41,29,38,32,1.21,-0.66,0.56,115.9,114.7,+1.2,99.8,.241,.397,.594,,.562,12.1,21.0,.190,,.546,13.1,74.1,.195,,Gainbridge Fieldhouse,551055,16723
14,Los Angeles Lakers,27.8,43,27,37,33,0.89,-0.07,0.82,115.0,114.1,+0.9,97.8,.270,.419,.589,,.553,12.7,23.1,.211,,.536,12.2,74.9,.180,,Crypto.com Arena,691638,18693
15,Sacramento Kings,27.7,35,35,36,34,0.67,-0.04,0.63,116.8,116.1,+0.7,98.6,.239,.394,.582,,.547,11.8,25.5,.193,,.556,12.6,76.9,.203,,Golden 1 Center,597395,17068
16,Dallas Mavericks,27.6,34,37,35,36,-0.39,0.62,0.22,115.5,115.9,-0.4,99.3,.260,.399,.584,,.550,12.4,23.8,.202,,.538,11.6,72.9,.182,,American Airlines Center,722389,20066
17,Phoenix Suns,29.3,34,37,33,38,-1.08,-0.19,-1.28,116.9,118.0,-1.1,97.3,.251,.438,.600,,.565,12.8,22.1,.203,,.543,10.8,74.0,.191,,Footprint Center,597485,17071
18,Orlando Magic,24.9,33,38,32,39,-1.31,-0.50,-1.81,108.5,109.9,-1.4,96.3,.273,.409,.545,,.505,12.9,25.1,.211,,.541,15.1,77.1,.227,,Kia Center,650912,18597
19,Miami Heat,26.9,30,41,32,39,-1.46,-0.10,-1.56,112.0,113.5,-1.5,96.2,.238,.436,.572,,.538,12.7,21.6,.188,,.543,12.4,75.5,.158,,Kaseya Center,689638,19704
20,Atlanta Hawks,25.0,35,36,32,39,-1.70,-0.16,-1.86,113.7,115.3,-1.6,102.9,.256,.404,.575,,.541,13.3,26.1,.198,,.560,13.9,76.0,.199,,State Farm Arena,590245,16396
21,San Antonio Spurs,26.0,31,39,32,38,-1.57,-0.07,-1.65,115.0,116.6,-1.6,99.3,.237,.439,.578,,.546,12.3,24.7,.183,,.548,12.0,73.0,.157,,Frost Bank Center,639981,17928
22,Chicago Bulls,25.3,31,40,30,41,-2.61,-0.19,-2.80,113.5,116.0,-2.5,102.8,.209,.462,.582,,.551,12.6,21.7,.169,,.541,10.8,76.4,.182,,United Center,699171,19976
23,Portland Trail Blazers,23.9,32,40,29,43,-3.17,0.46,-2.70,112.1,115.3,-3.2,98.6,.248,.416,.559,,.525,13.9,28.8,.190,,.543,13.3,72.4,.206,,Moda Center,643436,17390
24,Toronto Raptors,24.6,24,47,24,47,-5.51,0.56,-4.95,110.3,115.9,-5.6,99.3,.242,.369,.555,,.523,13.7,27.5,.181,,.543,12.8,73.5,.224,,Scotiabank Arena,691458,18688
25,Philadelphia 76ers,27.6,23,48,24,47,-5.54,0.27,-5.26,112.4,118.1,-5.7,97.2,.261,.425,.567,,.529,12.2,23.1,.205,,.572,14.6,72.1,.199,,Wells Fargo Center,674658,19843
26,Brooklyn Nets,24.9,23,48,22,49,-6.06,0.29,-5.76,109.1,115.4,-6.3,96.0,.242,.453,.552,,.516,13.6,25.2,.190,,.555,13.9,74.7,.216,,Barclays Center,575339,17435
27,Utah Jazz,24.0,16,56,20,52,-7.79,0.58,-7.21,111.4,119.1,-7.7,100.0,.257,.446,.570,,.536,15.2,27.4,.198,,.552,10.3,74.7,.188,,Delta Center,672475,18175
28,Charlotte Hornets,25.1,18,53,19,52,-8.18,0.02,-8.16,107.9,116.3,-8.4,97.6,.219,.434,.538,,.504,13.6,27.1,.172,,.547,12.3,74.6,.197,,Spectrum Center,623366,17316
29,New Orleans Pelicans,25.9,19,53,18,54,-8.94,0.91,-8.03,111.0,120.0,-9.0,99.1,.246,.387,.554,,.521,12.7,26.4,.186,,.567,12.5,72.2,.185,,Smoothie King Center,584381,16697
30,Washington Wizards,23.8,15,55,13,57,-12.00,0.50,-11.50,106.9,118.7,-11.8,101.3,.230,.436,.547,,.512,13.8,23.2,.180,,.549,11.6,72.6,.203,,Capital One Arena,553311,16151
